"strategy","month","true.surv.death","true.surv.irae"
"disc.24mo",38,0.733466666666667,0.897633333333333
"disc.24mo",39,0.7257,0.8959
"disc.24mo",40,0.717233333333333,0.894333333333333
"disc.24mo",41,0.7101,0.892566666666667
"disc.24mo",42,0.702766666666667,0.891066666666667
"disc.24mo",43,0.695366666666667,0.889566666666667
"disc.24mo",44,0.687,0.8878
"disc.24mo",45,0.679333333333333,0.8861
"disc.24mo",46,0.670966666666667,0.8847
"disc.24mo",47,0.6642,0.8831
"disc.24mo",48,0.6567,0.881533333333333
"disc.30mo",1,0.994033333333333,0.996
"disc.30mo",2,0.988633333333333,0.992133333333333
"disc.30mo",3,0.982266666666667,0.9884
"disc.30mo",4,0.976166666666667,0.984266666666667
"disc.30mo",5,0.969066666666667,0.980133333333333
"disc.30mo",6,0.962566666666667,0.976066666666667
"disc.30mo",7,0.956233333333333,0.972233333333333
"disc.30mo",8,0.950133333333333,0.9683
"disc.30mo",9,0.944733333333333,0.964066666666667
"disc.30mo",10,0.9387,0.96
"disc.30mo",11,0.932333333333333,0.956766666666667
"disc.30mo",12,0.925433333333333,0.953233333333333
"disc.30mo",13,0.9186,0.949966666666667
"disc.30mo",14,0.9122,0.9476
"disc.30mo",15,0.9057,0.944633333333333
"disc.30mo",16,0.9,0.941633333333333
"disc.30mo",17,0.8939,0.939066666666667
"disc.30mo",18,0.8877,0.936366666666667
"disc.30mo",19,0.881566666666667,0.933166666666667
"disc.30mo",20,0.8747,0.930733333333333
"disc.30mo",21,0.867933333333333,0.928066666666667
"disc.30mo",22,0.860966666666667,0.925733333333333
"disc.30mo",23,0.8546,0.9228
"disc.30mo",24,0.848033333333333,0.9205
"disc.30mo",25,0.8416,0.918166666666667
"disc.30mo",26,0.8347,0.915366666666667
"disc.30mo",27,0.827433333333333,0.913366666666667
"disc.30mo",28,0.821233333333333,0.911033333333333
"disc.30mo",29,0.8141,0.908833333333333
"disc.30mo",30,0.805233333333333,0.9072
"disc.30mo",31,0.796333333333333,0.905566666666667
"disc.30mo",32,0.787733333333333,0.9036
"disc.30mo",33,0.780133333333333,0.901533333333333
"disc.30mo",34,0.772766666666667,0.899833333333333
"disc.30mo",35,0.765033333333333,0.898366666666667
"disc.30mo",36,0.757633333333333,0.896666666666667
"disc.30mo",37,0.749533333333333,0.894866666666667
"disc.30mo",38,0.7408,0.893466666666667
"disc.30mo",39,0.733033333333333,0.891733333333333
"disc.30mo",40,0.7245,0.890166666666667
"disc.30mo",41,0.717433333333333,0.8884
"disc.30mo",42,0.710033333333333,0.8869
"disc.30mo",43,0.702566666666667,0.885366666666667
"disc.30mo",44,0.694,0.8836
"disc.30mo",45,0.686333333333333,0.881933333333333
"disc.30mo",46,0.677833333333333,0.880533333333333
"disc.30mo",47,0.6708,0.878933333333333
"disc.30mo",48,0.6633,0.877333333333333
"disc.36mo",1,0.994033333333333,0.996
"disc.36mo",2,0.988633333333333,0.992133333333333
"disc.36mo",3,0.982266666666667,0.9884
"disc.36mo",4,0.976166666666667,0.984266666666667
"disc.36mo",5,0.969066666666667,0.980133333333333
"disc.36mo",6,0.962566666666667,0.976066666666667
"disc.36mo",7,0.956233333333333,0.972233333333333
"disc.36mo",8,0.950133333333333,0.9683
"disc.36mo",9,0.944733333333333,0.964066666666667
"disc.36mo",10,0.9387,0.96
"disc.36mo",11,0.932333333333333,0.956766666666667
"disc.36mo",12,0.925433333333333,0.953233333333333
"disc.36mo",13,0.9186,0.949966666666667
"disc.36mo",14,0.9122,0.9476
"disc.36mo",15,0.9057,0.944633333333333
"disc.36mo",16,0.9,0.941633333333333
"disc.36mo",17,0.8939,0.939066666666667
"disc.36mo",18,0.8877,0.936366666666667
"disc.36mo",19,0.881566666666667,0.933166666666667
"disc.36mo",20,0.8747,0.930733333333333
"disc.36mo",21,0.867933333333333,0.928066666666667
"disc.36mo",22,0.860966666666667,0.925733333333333
"disc.36mo",23,0.8546,0.9228
"disc.36mo",24,0.848033333333333,0.9205
"disc.36mo",25,0.8416,0.918166666666667
"disc.36mo",26,0.8347,0.915366666666667
"disc.36mo",27,0.827433333333333,0.913366666666667
"disc.36mo",28,0.821233333333333,0.911033333333333
"disc.36mo",29,0.8141,0.908833333333333
"disc.36mo",30,0.806733333333333,0.906533333333333
"disc.36mo",31,0.799633333333333,0.904233333333333
"disc.36mo",32,0.792533333333333,0.9017
"disc.36mo",33,0.785966666666667,0.899
"disc.36mo",34,0.779566666666667,0.896766666666667
"disc.36mo",35,0.772933333333333,0.894733333333333
"disc.36mo",36,0.7655,0.893033333333333
"disc.36mo",37,0.7573,0.8912
"disc.36mo",38,0.748533333333333,0.889766666666667
"disc.36mo",39,0.740633333333333,0.888033333333333
"disc.36mo",40,0.731933333333333,0.886433333333333
"disc.36mo",41,0.724833333333333,0.884666666666667
"disc.36mo",42,0.717333333333333,0.883166666666667
"disc.36mo",43,0.709833333333333,0.8817
"disc.36mo",44,0.7012,0.8799
"disc.36mo",45,0.6933,0.8782
"disc.36mo",46,0.684766666666667,0.8768
"disc.36mo",47,0.677633333333333,0.8752
"disc.36mo",48,0.6701,0.8736
"disc.42mo",1,0.994033333333333,0.996
"disc.42mo",2,0.988633333333333,0.992133333333333
"disc.42mo",3,0.982266666666667,0.9884
"disc.42mo",4,0.976166666666667,0.984266666666667
"disc.42mo",5,0.969066666666667,0.980133333333333
"disc.42mo",6,0.962566666666667,0.976066666666667
"disc.42mo",7,0.956233333333333,0.972233333333333
"disc.42mo",8,0.950133333333333,0.9683
"disc.42mo",9,0.944733333333333,0.964066666666667
"disc.42mo",10,0.9387,0.96
"disc.42mo",11,0.932333333333333,0.956766666666667
"disc.42mo",12,0.925433333333333,0.953233333333333
"disc.42mo",13,0.9186,0.949966666666667
"disc.42mo",14,0.9122,0.9476
"disc.42mo",15,0.9057,0.944633333333333
"disc.42mo",16,0.9,0.941633333333333
"disc.42mo",17,0.8939,0.939066666666667
"disc.42mo",18,0.8877,0.936366666666667
"disc.42mo",19,0.881566666666667,0.933166666666667
"disc.42mo",20,0.8747,0.930733333333333
"disc.42mo",21,0.867933333333333,0.928066666666667
"disc.42mo",22,0.860966666666667,0.925733333333333
"disc.42mo",23,0.8546,0.9228
"disc.42mo",24,0.848033333333333,0.9205
"disc.42mo",25,0.8416,0.918166666666667
"disc.42mo",26,0.8347,0.915366666666667
"disc.42mo",27,0.827433333333333,0.913366666666667
"disc.42mo",28,0.821233333333333,0.911033333333333
"disc.42mo",29,0.8141,0.908833333333333
"disc.42mo",30,0.806733333333333,0.906533333333333
"disc.42mo",31,0.799633333333333,0.904233333333333
"disc.42mo",32,0.792533333333333,0.9017
"disc.42mo",33,0.785966666666667,0.899
"disc.42mo",34,0.779566666666667,0.896766666666667
"disc.42mo",35,0.772933333333333,0.894733333333333
"disc.42mo",36,0.766733333333333,0.892366666666667
"disc.42mo",37,0.7601,0.8898
"disc.42mo",38,0.7528,0.8876
"disc.42mo",39,0.7464,0.885266666666667
"disc.42mo",40,0.739233333333333,0.883166666666667
"disc.42mo",41,0.7335,0.880633333333333
"disc.42mo",42,0.725766666666667,0.879133333333333
"disc.42mo",43,0.718033333333333,0.877666666666667
"disc.42mo",44,0.709166666666667,0.8759
"disc.42mo",45,0.7012,0.874233333333333
"disc.42mo",46,0.6925,0.872833333333333
"disc.42mo",47,0.685266666666667,0.8712
"disc.42mo",48,0.677633333333333,0.8696
"cont",1,0.994033333333333,0.996
"cont",2,0.988633333333333,0.992133333333333
"cont",3,0.982266666666667,0.9884
"cont",4,0.976166666666667,0.984266666666667
"cont",5,0.969066666666667,0.980133333333333
"cont",6,0.962566666666667,0.976066666666667
"cont",7,0.956233333333333,0.972233333333333
"cont",8,0.950133333333333,0.9683
"cont",9,0.944733333333333,0.964066666666667
"cont",10,0.9387,0.96
"cont",11,0.932333333333333,0.956766666666667
"cont",12,0.925433333333333,0.953233333333333
"cont",13,0.9186,0.949966666666667
"cont",14,0.9122,0.9476
"cont",15,0.9057,0.944633333333333
"cont",16,0.9,0.941633333333333
"cont",17,0.8939,0.939066666666667
"cont",18,0.8877,0.936366666666667
"cont",19,0.881566666666667,0.933166666666667
"cont",20,0.8747,0.930733333333333
"cont",21,0.867933333333333,0.928066666666667
"cont",22,0.860966666666667,0.925733333333333
"cont",23,0.8546,0.9228
