"mean","sd","min","max","p99","pct.gt5","n.nonfinite","rep","seed"
1.27572784306806,1.69387279765783,0.537188874657801,10,10,0.0379037758232906,0,1,1001
1.27197006898585,1.67764443420143,0.545235277849796,10,10,0.0372316475339831,0,2,1002
1.28923141695509,1.72582325514698,0.543911151117606,10,10,0.0393851959188703,0,3,1003
1.26961881133562,1.67972818812126,0.534829085200877,10,10,0.0371771903215627,0,4,1004
1.26708135237326,1.66044740103802,0.547186462819701,10,10,0.0363802875748585,0,5,1005
1.27910152201998,1.70004885461295,0.542446086095994,10,10,0.038185697034524,0,6,1006
1.26573460041145,1.66839464384739,0.543339044972061,10,10,0.0366013260256695,0,7,1007
1.2767926148527,1.68470480492113,0.54915145049388,10,10,0.037621440761096,0,8,1008
1.27516482852597,1.69529357833014,0.535905461345844,10,10,0.037936732987624,0,9,1009
1.27905922292827,1.69998978900603,0.543776364657773,10,10,0.0381154986015559,0,10,1010
1.27104535311469,1.68868078530585,0.534322624426788,10,10,0.0375423336127181,0,11,1011
1.27692293987403,1.71019687211942,0.531096634594098,10,10,0.0385969824844775,0,12,1012
1.27015217411196,1.66941899861149,0.548877833178544,10,10,0.0368495631549834,0,13,1013
1.27593598336539,1.70586392904102,0.526313164022606,10,10,0.0384761464545747,0,14,1014
1.27466866144446,1.69404857352734,0.537673658670093,10,10,0.037883959333785,0,15,1015
1.27505316730007,1.68375496110181,0.551455476264876,10,10,0.0374850976353084,0,16,1016
1.27779890526202,1.6930210112412,0.54221714821481,10,10,0.0378775082764678,0,17,1017
1.28111732540194,1.7151619977438,0.534118400524956,10,10,0.0387413068691134,0,18,1018
1.27674674142331,1.71067665890779,0.530404532794102,10,10,0.0385341370776138,0,19,1019
1.28203742492349,1.70788426351043,0.543935745412313,10,10,0.0385344171138147,0,20,1020
